No,Provinsi,2014,2015,2016,2017,2018,2019,2020(Angka Sementara),2021(Angka Estimasi)
1,Aceh,120.667,121.272,123.443,123.807,124.236,125.331,126.045,125.443
2,Sumatera Utara,81.644,82.156,85.412,90.241,93.695,95.374,95.477,95.263
3,Sumatera Barat,42.893,42.925,38.365,33.276,31.622,26.696,25.244,29.602
4,Riau,4.712,4.641,4.510,4.547,4.769,5.061,4.215,4.422
5,Kepulauan Riau,47,52,2,4,2,5,20,20
6,Jambi,26.094,26.286,26.847,27.160,27.274,29.438,30.650,32.074
7,Sumatera Selatan,249.381,249.510,263.108,250.397,251.027,250.157,250.158,249.963
8,Kepulauan Bangka Belitung,25,26,25,52,63,67,87,92
9,Bengkulu,90.883,91.085,90.885,87.760,87.927,88.048,85.483,86.214
10,Lampung,155.007,161.693,160.953,157.682,156.919,156.959,156.872,156.836
11,DKI Jakarta,0,0,0,0,0,0,0,0
12,Jawa Barat,32.486,32.558,33.890,39.260,42.888,45.456,48.397,47.900
13,Banten,6.577,6.498,6.146,6.149,6.166,6.223,6.036,6.303
14,Jawa Tengah,40.675,41.548,40.416,40.802,45.364,46.644,47.165,47.908
15,DI. Yogyakarta,1.741,1.738,1.703,1.702,1.724,1.707,1.671,1.624
16,Jawa Timur,102.213,103.809,105.221,106.951,109.758,91.788,90.030,89.894
17,Bali,36.078,35.779,35.515,35.199,35.060,34.730,34.762,34.606
18,Nusa Tenggara Barat,12.397,12.177,12.256,11.978,12.272,12.841,13.100,12.918
19,Nusa Tenggara Timur,72.208,65.718,66.572,70.761,72.815,71.103,71.143,72.997
20,Kalimantan Barat,11.763,11.707,11.593,11.638,11.717,11.827,11.575,11.926
21,Kalimantan Tengah,1.753,1.536,1.574,1.737,1.955,2.401,2.453,3.157
22,Kalimantan Selatan,4.043,3.787,3.714,3.168,3.053,2.880,3.000,2.576
23,Kalimantan Timur,4.823,3.567,3.049,2.725,2.550,2.529,1.221,1.220
24,Kalimantan Utara,2.177,1.853,1.739,1.702,1.489,1.481,1.477,1.476
25,Sulawesi Utara,7.714,7.656,7.655,7.846,7.634,7.635,7.926,7.672
26,Gorontalo,1.756,1.759,1.538,1.551,1.551,1.496,1.496,1.524
27,Sulawesi Tengah,8.373,8.466,8.643,8.854,8.883,9.667,9.949,9.650
28,Sulawesi Selatan,72.584,72.852,73.429,73.465,73.375,79.531,78.502,78.893
29,Sulawesi Barat,15.787,14.418,14.628,15.469,15.510,15.810,15.909,15.915
30,Sulawesi Tenggara,9.482,9.337,9.180,8.736,8.575,8.463,8.454,8.439
31,Maluku,1.449,1.287,1.266,1.265,1.254,1.248,1.266,1.362
32,Maluku Utara,2.344,1.922,1.717,1.801,120,413,415,225
33,Papua,10.214,9.970,11.161,10.906,11.558,12.326,12.526,11.469
34,Papua Barat,504,412,504,7,22,22,27,27
