Tahun;Bahan Makanan;Makanan Jadi, Minuman, Rokok, dan Tembakau;Perumahan, Air, Listrik, Gas, dan Bahan Bakar;Sandang;Kesehatan;Pendidikan, Rekreasi, dan Olahraga;Transportasi, Komunikasi, dan Jasa Keuangan;Umum
2019;4.28;3.97;1.75;4.93;3.46;3.25;0.17;2.72
Desember;0.78;0.29;0.09;0.05;0.29;-0.05;0.58;0.34
November;0.37;0.25;0.12;0.03;0.23;0.02;-0.07;0.14
Oktober;-0.41;0.45;0.08;0.08;0.3;0.1;-0.08;0.02
September;-1.97;0.28;0.09;0.72;0.32;0.47;0.01;-0.27
Agustus;-0.19;0.26;0.23;0.88;0.59;1.21;-0.55;0.12
Juli;0.8;0.24;0.14;0.7;0.18;0.92;-0.36;0.31
Juni;1.63;0.59;0.17;0.81;0.19;0.07;-0.14;0.55
Mei;2.02;0.56;0.06;0.45;0.18;0.03;0.54;0.68
April;1.45;0.19;0.12;0.15;0.25;0.03;0.28;0.44
Maret;-0.01;0.21;0.11;0.23;0.24;0.06;0.1;0.11
Februari;-1.11;0.31;0.25;0.27;0.36;0.11;0.05;-0.08
Januari;0.92;0.27;0.28;0.47;0.27;0.24;-0.16;0.32
2018;3.41;3.91;2.43;3.59;3.14;3.15;3.16;3.13
Desember;1.45;0.22;0.13;0.08;0.2;0.1;1.28;0.62
November;0.24;0.2;0.25;0.23;0.36;0.05;0.56;0.27
Oktober;0.15;0.27;0.42;0.54;0.06;0.09;0.26;0.28
September;-1.62;0.29;0.21;0.27;0.41;0.54;-0.05;-0.18
Agustus;-1.1;0.35;0.25;-0.07;0.2;1.03;-0.15;-0.05
Juli;0.86;0.45;0.16;0.29;0.27;0.83;-0.65;0.28
Juni;0.88;0.4;0.13;0.36;0.27;0.07;1.5;0.59
Mei;0.21;0.31;0.19;0.33;0.21;0.09;0.18;0.21
April;-0.26;0.24;0.16;0.29;0.22;0.04;0.19;0.1
Maret;0.14;0.26;0.06;0.36;0.37;0.07;0.28;0.2
Februari;0.13;0.43;0.22;0.35;0.26;0.07;0.02;0.17
Januari;2.34;0.43;0.23;0.5;0.28;0.16;-0.28;0.62
2017;1.26;4.1;5.14;3.92;2.99;3.33;4.23;3.61
Desember;2.26;0.3;0.17;0.13;0.18;0.07;0.75;0.71
November;0.37;0.22;0.13;0.12;0.27;0.1;0.09;0.2
Oktober;-0.45;0.28;0.18;0.18;0.21;0.16;-0.13;0.01
September;-0.53;0.34;0.21;0.52;0.16;1.03;0.02;0.13
Agustus;-0.67;0.02;0.01;0.02;0.01;0.06;-0.6;-0.07
Juli;0.21;0.57;0.06;0.06;0.15;0.62;-0.08;0.22
Juni;0.69;0.39;0.75;0.78;0.34;0.07;1.27;0.69
Mei;0.86;0.38;0.35;0.23;0.37;0.03;0.23;0.39
April;-1.13;0.12;0.93;0.49;0.08;0.03;0.27;0.09
Maret;-0.66;0.31;0.3;0.18;0.21;0.08;-0.13;-0.02
Februari;-0.31;0.39;0.75;0.52;0.26;0.08;0.15;0.23
Januari;0.66;0.47;1.09;0.33;0.5;0.12;2.35;0.97
2016;5.69;5.38;1.9;3.05;3.92;2.73;-0.72;3.02
